City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Wanlaweyn,SO,82.72,broken clouds,2.6185,44.8938,GAASHAAN HOME
443,Puerto Madero,MX,78.03,overcast clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
453,Shieli,KZ,82.81,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
461,Mananara,MG,75.25,scattered clouds,-16.1667,49.7667,Chez Roger
462,Champerico,GT,77.38,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
465,Lumphat,KH,80.47,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
469,Nsanje,MW,84.51,clear sky,-16.92,35.262,Nsanje Discovery Lodge
472,Pontianak,ID,85.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
474,Basco,PH,83.79,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
475,Abilene,US,80.82,clear sky,32.4487,-99.7331,Baymont by Wyndham Abilene
485,Biak,ID,82.53,broken clouds,-0.9131,122.8766,Penginapan Kim
487,Sur,OM,88.45,clear sky,22.5667,59.5289,Sur Plaza Hotel
488,Javanrud,IR,82.42,clear sky,34.7961,46.5172,Bonnie power
492,Baculin,PH,84.9,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
495,Boa Vista,BR,76.98,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
496,San Policarpo,PH,87.31,light rain,12.1791,125.5072,Agapita M. Nicart
497,Maningrida,AU,86.52,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
499,Sorong,ID,83.08,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
501,Itoman,JP,86.77,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
502,Kimbe,PG,78.98,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
504,Angoche,MZ,80.13,clear sky,-16.2325,39.9086,Guest House HESADA
505,Mae Hong Son,TH,82.54,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
512,Sal Rei,CV,78.48,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
513,Dhangadhi,NP,89.62,scattered clouds,28.7079,80.5961,Hotel Devotee
519,Carutapera,BR,75.92,overcast clouds,-1.195,-46.02,Lidera
532,Oriximina,BR,79.43,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
534,Nouakchott,MR,80.15,broken clouds,18.0858,-15.9785,HOTEL IMAN
536,Trairi,BR,77.34,broken clouds,-3.2778,-39.2689,janelas do mar
537,Kismayo,SO,80.38,broken clouds,-0.3582,42.5454,Agan-Hotel
542,Ratnagiri,IN,81.99,overcast clouds,16.9833,73.3,Hotel Landmark
547,Monrovia,LR,75.51,overcast clouds,6.3005,-10.7969,Sunset Inn
549,Rongcheng,CN,84.67,scattered clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
552,Kilindoni,TZ,77.27,broken clouds,-7.9139,39.6668,Bustani B&B
554,Benjamin Constant,BR,75.33,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
556,Puerto Princesa,PH,87.78,scattered clouds,9.7392,118.7353,Deep Forest Garden Inn
558,Zhanakorgan,KZ,83.5,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
559,Wencheng,CN,87.31,scattered clouds,33.0559,113.7978,Ruyi Hostel
561,Botou,CN,79.9,clear sky,38.0667,116.5667,Hanting Hotel Huanghua City Hall
563,Sing Buri,TH,75.36,overcast clouds,14.85,100.2333,บ้าน คุณสมพงษ์ อันประเสริฐ
565,Zunyi,CN,81.64,scattered clouds,27.6867,106.9072,Bishiluo Hostel
569,Porto Walter,BR,76.24,broken clouds,-8.2686,-72.7439,Hotel Silva
573,Chirongui,YT,80.53,clear sky,-12.9319,45.1483,La Villa Mahatsara
574,Mehriz,IR,79.3,clear sky,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
585,Domoni,KM,77.47,few clouds,-12.2569,44.5319,Al Djadid
587,Hambantota,LK,89.94,scattered clouds,6.1241,81.1185,Bungalow 63
590,Catia La Mar,VE,79.0,scattered clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
599,Asuncion,PY,78.24,thunderstorm,-25.3007,-57.6359,"Crowne Plaza Asuncion, an IHG Hotel"
606,Makakilo City,US,79.12,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
608,Mackay,AU,82.69,scattered clouds,-21.15,149.2,International Lodge Motel
622,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
623,Ergani,TR,81.43,clear sky,38.2653,39.7621,Serkan Hotel
625,Marzuq,YE,89.26,clear sky,14.4,46.4667,حيد القفلة
626,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
