City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,Payakumbuh,-0.2202,100.6308,69.66,96,100,2.64,ID,2022-09-16 22:15:35
201,Gigmoto,13.7796,124.39,79.81,83,100,7.81,PH,2022-09-16 22:12:31
202,Klaksvik,62.2266,-6.589,47.32,83,90,12.8,FO,2022-09-16 22:15:35
203,Tortoli,39.9256,9.6572,73.63,69,51,6.53,IT,2022-09-16 22:15:36
204,Ancud,-41.8697,-73.8203,43.23,63,81,8.79,CL,2022-09-16 22:15:36
205,Luderitz,-26.6481,15.1594,60.26,82,99,10.89,NA,2022-09-16 22:15:37
206,Sao Filipe,14.8961,-24.4956,78.91,81,95,10.8,CV,2022-09-16 22:15:37
207,Fort Nelson,58.8053,-122.7002,62.19,31,75,4.61,CA,2022-09-16 22:15:37
208,Leshukonskoye,64.8989,45.7622,49.1,95,100,6.53,RU,2022-09-16 22:15:38
209,Bambanglipuro,-7.95,110.2833,74.7,88,100,4.74,ID,2022-09-16 22:15:38
210,Vanavara,60.34,102.2797,40.77,94,100,6.33,RU,2022-09-16 22:15:39
211,Bloemfontein,-29.1211,26.214,74.68,25,38,10.36,ZA,2022-09-16 22:13:19
212,Padang,-0.9492,100.3543,76.42,87,60,2.66,ID,2022-09-16 22:15:39
213,Bergen,60.392,5.328,50.88,82,75,14.97,NO,2022-09-16 22:15:40
214,Kodiak,57.79,-152.4072,53.11,82,100,5.75,US,2022-09-16 22:15:40
215,Borogontsy,62.6683,131.1683,36.07,83,100,6.78,RU,2022-09-16 22:15:40
216,Cruzeiro Do Sul,-29.5128,-51.9853,66.49,73,32,6.91,BR,2022-09-16 22:15:41
217,Dalbandin,28.8947,64.4101,82.65,8,0,5.35,PK,2022-09-16 22:15:41
218,Bonthe,7.5264,-12.505,77.9,87,100,10.33,SL,2022-09-16 22:15:42
219,Butaritari,3.0707,172.7902,81.84,69,53,14.88,KI,2022-09-16 22:15:42
220,Olga,43.7444,135.2892,56.79,96,100,4.92,RU,2022-09-16 22:15:43
221,Thompson,55.7435,-97.8558,69.96,40,20,3.44,CA,2022-09-16 22:13:52
222,Hirara,24.8,125.2833,80.46,94,75,17.27,JP,2022-09-16 22:15:43
223,Kurmanayevka,52.5093,52.0675,57.9,93,100,8.88,RU,2022-09-16 22:15:44
224,Marzuq,14.4,46.4667,82.04,39,99,2.33,YE,2022-09-16 22:15:44
225,Fallon,39.4735,-118.7774,80.47,18,40,4.61,US,2022-09-16 22:15:45
