City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Carnarvon,AU,-24.8667,113.6333,66.29,50,50,28.66,scattered clouds
153,Ust-Maya,RU,60.4167,134.5333,33.51,92,100,11.27,light snow
154,Porbandar,IN,21.6422,69.6093,82.38,83,40,9.22,scattered clouds
155,Saskylakh,RU,71.9167,114.0833,35.4,79,100,10.25,overcast clouds
156,Urengoy,RU,65.9667,78.3667,48.92,91,100,4.72,overcast clouds
157,Clearlake,US,38.9582,-122.6264,57.58,69,100,3.47,overcast clouds
158,Valparaiso,CL,-33.0393,-71.6273,47.07,80,0,10.92,clear sky
159,Kruisfontein,ZA,-34.0033,24.7314,53.89,81,100,15.43,light rain
160,General Roca,AR,-39.0333,-67.5833,41.63,63,77,6.69,broken clouds
161,Batticaloa,LK,7.7102,81.6924,85.77,64,99,4.63,overcast clouds
162,Qaqortoq,GL,60.7167,-46.0333,47.03,66,96,6.89,overcast clouds
163,Miskindzha,RU,41.424,47.8467,83.16,25,0,2.44,clear sky
164,Lata,PT,40.1629,-8.3327,66.07,76,99,4.07,overcast clouds
165,Nangwa,TZ,-4.4667,35.45,62.1,66,48,9.51,scattered clouds
166,Mehamn,NO,71.0357,27.8492,44.55,87,75,18.41,light rain
167,Praia,CV,14.9215,-23.5087,77.54,83,20,12.66,few clouds
168,Siocon,PH,7.7061,122.1353,87.69,62,78,6.35,broken clouds
169,Manaure,CO,11.7751,-72.4445,81.43,78,53,7.67,broken clouds
170,Kirakira,SB,-10.4544,161.9205,81.12,83,100,10.27,light rain
171,Upernavik,GL,72.7868,-56.1549,34.38,73,100,2.98,overcast clouds
172,Sri Aman,MY,1.2376,111.4621,80.65,89,20,3.44,few clouds
173,Saint Anthony,US,45.0205,-93.218,60.22,93,100,0.0,fog
174,Fairbanks,US,64.8378,-147.7164,48.31,77,20,3.44,few clouds
175,Jixi,CN,45.3,130.9667,57.07,47,6,17.65,clear sky
176,Pisco,PE,-13.7,-76.2167,62.65,82,100,4.61,mist
177,Aykhal,RU,66.0,111.5,33.31,99,100,5.17,light snow
178,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,93,100,4.61,light rain
179,Namatanai,PG,-3.6667,152.4333,82.81,71,81,7.99,light rain
180,Vostok,RU,46.4856,135.8833,45.19,82,94,9.24,overcast clouds
